2019-09-24 16:52:41,020 - INFO - Checking if clamp-backend  is ready
2019-09-24 16:52:41,962 - INFO - clamp-backend is not ready.
2019-09-24 16:52:41,963 - INFO - clamp-backend is not ready.
2019/09/24 17:12:13.263176 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:12:43.263002 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:13:13.262966 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:13:43.263067 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:14:13.262992 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:14:43.262982 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:15:13.263100 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:15:43.262907 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:16:13.262884 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:16:43.262957 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:17:13.262965 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:17:43.262942 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:18:13.263004 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:18:43.262991 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:19:13.263015 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:19:43.263155 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:20:13.262967 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:20:43.263012 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:21:13.263015 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:21:43.263030 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:22:13.263001 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:22:43.262965 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:23:13.262951 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:23:43.262938 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:24:13.262929 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:24:43.262902 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:25:13.262922 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:25:43.262918 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:26:13.262931 metrics.go:34: INFO No non-zero metrics in the last 30s
2019/09/24 17:26:43.263050 metrics.go:34: INFO No non-zero metrics in the last 30s
